X1,X1_1,fecha,indicativo,tm_max,tm_min
1,1,2001-1,6156X,16.5,9.1
2,2,2001-2,6156X,18.9,9
3,3,2001-3,6156X,21.7,12.2
4,4,2001-4,6156X,23.7,12.8
5,5,2001-5,6156X,24.6,14.6
6,6,2001-6,6156X,30.2,19.6
7,7,2001-7,6156X,30.4,20.8
8,8,2001-8,6156X,31.8,22.5
9,9,2001-9,6156X,28.4,19.8
10,10,2001-10,6156X,25.3,16.4
11,11,2001-11,6156X,18.5,10.8
12,12,2001-12,6156X,16.9,9.7
13,13,2002-1,6156X,17.6,9.9
14,14,2002-2,6156X,19.8,9.4
15,15,2002-3,6156X,19.4,10.6
16,16,2002-4,6156X,21.2,11.5
17,17,2002-5,6156X,24.7,14.2
18,18,2002-6,6156X,28.2,18.6
19,19,2002-7,6156X,30.4,20.7
20,20,2002-8,6156X,30.2,20.7
21,21,2002-9,6156X,27.6,18.8
22,22,2002-10,6156X,24.8,16.1
23,23,2002-11,6156X,22.3,13.9
24,24,2002-12,6156X,18.5,10.8
25,25,2003-1,6156X,17.3,7.9
26,26,2003-2,6156X,16.8,8.5
27,27,2003-3,6156X,19,11.3
28,28,2003-4,6156X,20.9,11.9
29,29,2003-5,6156X,24.3,15.5
30,30,2003-6,6156X,30.5,20.2
31,31,2003-7,6156X,32.5,21.3
32,32,2003-8,6156X,33,22.3
33,33,2003-9,6156X,28.9,19.9
34,34,2003-10,6156X,23.3,16
35,35,2003-11,6156X,19.8,12.1
36,36,2003-12,6156X,17.5,9
37,37,2004-1,6156X,19.6,10.2
38,38,2004-2,6156X,17,9.7
39,39,2004-3,6156X,18.9,10.5
40,40,2004-4,6156X,20.7,11
41,41,2004-5,6156X,22.2,13.4
42,42,2004-6,6156X,28.7,19.1
43,43,2004-7,6156X,30.2,21.5
44,44,2004-8,6156X,31.9,22.1
45,45,2004-9,6156X,28.9,19.2
46,46,2004-10,6156X,24.7,15.5
47,47,2004-11,6156X,19.9,11
48,48,2004-12,6156X,17,9.1
49,49,2005-1,6156X,16.7,6.4
50,50,2005-2,6156X,16.3,6.2
51,51,2005-3,6156X,18.1,10.2
52,52,2005-4,6156X,22.3,12.3
53,53,2005-5,6156X,25.8,15.9
54,54,2005-6,6156X,29.4,19.1
55,55,2005-7,6156X,32.4,22.3
